NT	PI	CH	T
3 3.142080 7401 0.021979
2 3.142520 7401 0.023658
1 3.138800 7401 0.002947
8 3.140120 7501 0.029308
7 3.146280 7501 0.030395
6 3.154680 7501 0.030374
5 3.148120 7501 0.023552
4 3.139960 7501 0.022618
3 3.143200 7501 0.021493
2 3.142760 7501 0.008874
1 3.139880 7501 0.003403
8 3.141280 7601 0.028615
7 3.143480 7601 0.030670
6 3.150680 7601 0.028854
5 3.140840 7601 0.028238
4 3.140200 7601 0.020624
3 3.135480 7601 0.022121
2 3.139880 7601 0.018102
1 3.139760 7601 0.002846
8 3.148920 7701 0.028232
7 3.136880 7701 0.030969
6 3.136760 7701 0.029291
5 3.147960 7701 0.026478
4 3.131520 7701 0.029135
3 3.142720 7701 0.033123
2 3.138640 7701 0.020360
1 3.145120 7701 0.002863
8 3.137240 7801 0.029343
7 3.147320 7801 0.031154
6 3.136360 7801 0.030257
5 3.145360 7801 0.026871
4 3.130160 7801 0.022930
3 3.142720 7801 0.022302
2 3.127600 7801 0.020971
1 3.149520 7801 0.002887
8 3.135400 7901 0.028126
7 3.139560 7901 0.030554
6 3.146480 7901 0.030116
5 3.137200 7901 0.026357
4 3.146280 7901 0.024461
3 3.139200 7901 0.024327
2 3.134360 7901 0.034160
1 3.145640 7901 0.003020
8 3.140120 8001 0.028494
7 3.142080 8001 0.030824
6 3.143720 8001 0.030693
5 3.139880 8001 0.026587
4 3.137480 8001 0.020507
3 3.137240 8001 0.022625
2 3.144760 8001 0.034595
1 3.138040 8001 0.002884
8 3.146200 8101 0.028000
7 3.138360 8101 0.028857
6 3.137080 8101 0.029203
5 3.137280 8101 0.026450
4 3.143080 8101 0.023843
3 3.147360 8101 0.019700
2 3.141480 8101 0.016554
1 3.132880 8101 0.003012
8 3.132160 8201 0.057896
7 3.146880 8201 0.029871
6 3.136920 8201 0.029689
5 3.133320 8201 0.025589
4 3.135160 8201 0.020628
3 3.136680 8201 0.021659
2 3.137000 8201 0.019709
1 3.133440 8201 0.002837
8 3.144080 8301 0.034088
7 3.143680 8301 0.040944
6 3.138600 8301 0.031440
5 3.139400 8301 0.025997
4 3.133800 8301 0.022402
3 3.137600 8301 0.021930
2 3.142760 8301 0.019303
1 3.139440 8301 0.002890
8 3.147720 8401 0.028223
7 3.147400 8401 0.027693
6 3.141200 8401 0.030059
5 3.145320 8401 0.026358
4 3.140400 8401 0.022856
3 3.147160 8401 0.022308
2 3.144320 8401 0.017496
1 3.138480 8401 0.002928
8 3.137880 8501 0.027729
